Time (m),Time (s),Speed (km/h),Altitude (km)
0,0,0,0
0,1,1,0
0,2,1,0
0,3,13,0
0,4,25,0
0,5,44,0
0,6,50,0
0,7,74,0
0,8,93,0
0,9,,
0,10,128,0
0,11,150,0
0,12,168,0
0,13,185,0
0,14,208,0
0,15,231,0
0,16,245,0
0,17,264,0
0,18,283,0
0,19,303,0
0,20,324,0
0,21,346,0
0,22,368,1
0,23,396,1
0,24,408,1
0,25,429,1
0,26,451,1
0,27,471,1
0,28,494,1
0,29,515,1
0,30,536,2
0,31,557,2
0,32,579,2
0,33,600,2
0,34,625,2
0,35,645,2
0,36,668,3
0,37,690,3
0,38,715,3
0,39,729,3
0,40,750,3
0,41,773,3
0,42,793,4
0,43,819,4
0,44,841,4
0,45,863,4
0,46,892,5
0,47,905,5
0,48,925,5
0,49,945,5
0,50,965,6
0,51,983,6
0,52,1003,6
0,53,1023,6
0,54,1041,7
0,55,1058,7
0,56,1075,7
0,57,1091,8
0,58,1108,8
0,59,1126,8
1,0,1143,8
1,1,1162,9
1,2,1183,9
1,3,1203,9
1,4,1225,10
1,5,1246,10
1,6,1268,10
1,7,1290,11
1,8,1313,11
1,9,1337,11
1,10,1362,12
1,11,1383,12
1,12,1410,12
1,13,1434,13
1,14,1461,13
1,15,1489,13
1,16,1517,14
1,17,1546,14
1,18,1575,15
1,19,1605,15
1,20,1635,16
1,21,1657,16
1,22,1698,16
1,23,1729,17
1,24,1762,17
1,25,1796,18
1,26,1832,18
1,27,1856,19
1,28,1903,19
1,29,1941,20
1,30,1980,20
1,31,2019,20
1,32,2058,21
1,33,2099,21
1,34,2140,22
1,35,2180,22
1,36,2224,23
1,37,2256,23
1,38,2311,24
1,39,2365,25
1,40,2397,25
1,41,2446,25
1,42,2495,26
1,43,2536,27
1,44,2588,27
1,45,2636,28
1,46,2683,28
1,47,2734,29
1,48,2785,29
1,49,2831,30
1,50,2884,31
1,51,2938,31
1,52,2968,32
1,53,3040,32
1,54,3095,33
1,55,3145,34
1,56,3199,34
1,57,3256,35
1,58,3303,36
1,59,3363,36
2,0,3407,37
2,1,3459,38
2,2,3515,38
2,3,3556,39
2,4,3621,40
2,5,3677,40
2,6,3733,41
2,7,3787,42
2,8,3843,42
2,9,3900,43
2,10,3951,44
2,11,4012,45
2,12,4065,45
2,13,4122,46
2,14,4174,47
2,15,4233,47
2,16,4289,48
2,17,4342,49
2,18,4401,50
2,19,4451,50
2,20,4516,51
2,21,4572,52
2,22,4629,53
2,23,4684,53
2,24,4746,54
2,25,4803,55
2,26,4862,56
2,27,4917,56
2,28,4972,57
2,29,5036,58
2,30,5090,59
2,31,5157,60
2,32,5211,60
2,33,5271,61
2,34,5329,62
2,35,5388,63
2,36,5447,64
2,37,5502,64
2,38,5562,65
2,39,5625,66
2,40,5661,67
2,41,5662,67
2,42,5650,68
2,43,5639,69
2,44,5626,70
2,45,5620,71
2,46,5626,71
2,47,5632,72
2,48,5643,73
2,49,5658,74
2,50,5674,74
2,51,5692,75
2,52,5707,76
2,53,5726,76
2,54,5744,77
2,55,5763,78
2,56,5782,79
2,57,5801,79
2,58,5820,80
2,59,5839,81
3,0,5859,81
3,1,5878,82
3,2,5900,83
3,3,5918,83
3,4,5941,84
3,5,5961,85
3,6,5980,85
3,7,6000,86
3,8,6023,87
3,9,6044,87
3,10,6068,88
3,11,6090,89
3,12,6112,89
3,13,6135,90
3,14,6158,91
3,15,6181,91
3,16,6204,92
3,17,6228,92
3,18,6251,93
3,19,6275,94
3,20,6299,94
3,21,6320,95
3,22,6347,95
3,23,6374,96
3,24,6397,97
3,25,6421,97
3,26,6446,98
3,27,6427,98
3,28,6497,99
3,29,6524,100
3,30,6549,100
3,31,6576,101
3,32,6602,101
3,33,6629,102
3,34,6655,102
3,35,6682,103
3,36,6708,103
3,37,6736,104
3,38,6763,104
3,39,6790,105
3,40,6818,106
3,41,6846,106
3,42,6875,107
3,43,6902,107
3,44,6930,108
3,45,6959,108
3,46,6989,109
3,47,7016,109
3,48,7043,110
3,49,7075,110
3,50,7104,111
3,51,7133,111
3,52,7162,112
3,53,7190,112
3,54,7222,113
3,55,7254,113
3,56,7283,114
3,57,7312,114
3,58,7343,115
3,59,7370,115
4,0,7404,115
4,1,7438,116
4,2,7467,116
4,3,7501,117
4,4,7529,117
4,5,7561,118
4,6,7590,118
4,7,7620,119
4,8,7660,119
4,9,7693,120
4,10,7722,120
4,11,7753,120
4,12,7788,121
4,13,7819,121
4,14,7858,122
4,15,7890,122
4,16,7924,122
4,17,7954,123
4,18,7992,123
4,19,8027,124
4,20,8059,124
4,21,8096,124
4,22,8127,125
4,23,8166,125
4,24,8197,125
4,25,8232,126
4,26,8266,126
4,27,8301,127
4,28,8343,127
4,29,8381,127
4,30,8419,128
4,31,8455,128
4,32,8492,128
4,33,8529,129
4,34,8565,129
4,35,8595,129
4,36,8637,130
4,37,8676,130
4,38,8716,131
4,39,8756,131
4,40,8791,131
4,41,8833,132
4,42,8874,132
4,43,8913,132
4,44,8949,132
4,45,8991,133
4,46,9028,133
4,47,9069,133
4,48,9106,134
4,49,9150,134
4,50,9192,134
4,51,9231,135
4,52,9274,135
4,53,9314,135
4,54,9358,135
4,55,9397,136
4,56,9442,136
4,57,9484,136
4,58,9529,137
4,59,9571,137
5,0,9613,137
5,1,9655,137
5,2,9693,138
5,3,9747,138
5,4,9787,138
5,5,9833,138
5,6,9879,139
5,7,9923,139
5,8,9971,139
5,9,10016,139
5,10,10063,140
5,11,10108,140
5,12,10152,140
5,13,10200,140
5,14,10246,140
5,15,10290,141
5,16,10340,141
5,17,10388,141
5,18,10435,141
5,19,10486,142
5,20,10533,142
5,21,10574,142
5,22,10619,142
5,23,10668,142
5,24,10725,143
5,25,10775,143
5,26,10826,143
5,27,10873,143
5,28,10922,143
5,29,10964,143
5,30,11021,144
5,31,11072,144
5,32,11118,144
5,33,11176,144
5,34,11228,144
5,35,11281,145
5,36,11336,145
5,37,11389,145
5,38,11433,145
5,39,11485,145
5,40,11539,145
5,41,11596,145
5,42,11649,146
5,43,11712,146
5,44,11768,146
5,45,11823,146
5,46,11877,146
5,47,11933,146
5,48,11983,146
5,49,12038,146
5,50,12090,147
5,51,12159,147
5,52,12210,147
5,53,12270,147
5,54,12326,147
5,55,12387,147
5,56,12445,147
5,57,12496,147
5,58,12560,147
5,59,12619,148
6,0,12680,148
6,1,12737,148
6,2,12801,148
6,3,12868,148
6,4,12932,148
6,5,12995,148
6,6,13056,148
6,7,13124,148
6,8,13178,148
6,9,13233,148
6,10,13293,148
6,11,13360,148
6,12,13433,149
6,13,13500,149
6,14,13563,149
6,15,13628,149
6,16,13688,149
6,17,13757,149
6,18,,
6,19,,
6,20,14001,149
6,21,14033,149
6,22,14099,149
6,23,14160,149
6,24,14221,149
6,25,14291,149
6,26,14361,149
6,27,14434,149
6,28,14512,149
6,29,14581,149
6,30,14651,149
6,31,14729,149
6,32,14799,149
6,33,14873,149
6,34,14947,149
6,35,15014,149
6,36,15091,149
6,37,15155,149
6,38,14234,149
6,39,15314,149
6,40,15390,149
6,41,15459,149
6,42,15550,149
6,43,15616,149
6,44,15964,149
6,45,15781,149
6,46,15859,149
6,47,15929,149
6,48,16010,149
6,49,16088,149
6,50,16159,149
6,51,16258,149
6,52,16345,149
6,53,16427,149
6,54,16496,149
6,55,16580,149
6,56,16656,149
6,57,16761,149
6,58,16844,149
6,59,16926,149
7,0,17019,149
7,1,17106,149
7,2,17195,149
7,3,17275,149
7,4,17365,149
7,5,17463,149
7,6,17552,149
7,7,17634,149
7,8,17737,149
7,9,17816,149
7,10,17905,149
7,11,18003,149
7,12,18101,149
7,13,18205,149
7,14,18302,149
7,15,18400,149
7,16,18484,149
7,17,18587,149
7,18,18688,149
7,19,18795,149
7,20,18900,149
7,21,18993,149
7,22,19095,148
7,23,19209,148
7,24,19326,148
7,25,19432,148
7,26,19536,148
7,27,19652,148
7,28,19743,148
7,29,19887,148
7,30,19985,148
7,31,20094,148
7,32,20200,148
7,33,20321,148
7,34,20441,148
7,35,20569,148
7,36,20687,148
7,37,20787,148
7,38,20928,148
7,39,21051,148
7,40,21167,148
7,41,21292,148
7,42,21410,148
7,43,21527,148
7,44,21653,148
7,45,21800,148
7,46,21932,148
7,47,22048,148
7,48,22172,148
7,49,22276,148
7,50,22399,148
7,51,22527,148
7,52,22667,148
7,53,22792,148
7,54,22927,148
7,55,23033,148
7,56,23142,148
7,57,23256,148
7,58,23385,148
7,59,23508,148
8,0,23656,148
8,1,23776,148
8,2,23890,148
8,3,24021,148
8,4,24113,148
8,5,24122,148
8,6,24124,148